Portfolio_ID,Client_ID,Security_Ticker,Security_Name,Asset_Class,Sector,Country,Currency,Quantity,Purchase_Price,Current_Price,Market_Value_USD_M,Cost_Basis_USD_M,Unrealized_PnL_USD_M,Realized_PnL_USD_M,Weight_Pct,Benchmark,Duration_Years,Credit_Rating,Liquidity_Score
P-101,CLT-1001,ASML_NA,ASML Holding NV,Equity,Technology,Netherlands,EUR,612623.0,286.0,363.85,222.903,175.21,47.693,7.494,36.74,Bloomberg Global Aggregate,0.0,N/A,1
P-101,CLT-1001,CORP_HY_USD,US High Yield Corporate Credit Note,Corporate Bonds,Corporate Credit,United States,USD,1463200.0,93.23,93.26,136.458,136.414,0.044,0.01,22.49,Bloomberg Global Aggregate,5.7,AAA,3
P-101,CLT-1001,LT_IN,Larsen & Toubro Ltd.,Equity,Industrials,India,INR,318964.0,232.91,319.35,101.861,74.29,27.571,3.571,16.79,Bloomberg Global Aggregate,0.0,N/A,1
P-101,CLT-1001,EUR_LIQUIDITY_FUND,EUR Institutional Liquidity Master Fund,Money Market,Cash Equivalents,Europe,EUR,1011810.0,99.08,100.0,101.181,100.25,0.931,0.188,16.68,Bloomberg Global Aggregate,0.0,N/A,1
P-101,CLT-1001,RELIANCE_IN,Reliance Industries Ltd.,Equity,Energy,India,INR,47632.0,411.44,394.67,18.799,19.598,-0.799,-0.125,3.1,Bloomberg Global Aggregate,0.0,N/A,1
P-101,CLT-1001,CORP_IG_EUR,Euro High Grade Corporate Bond Note,Corporate Bonds,Corporate Credit,Europe,EUR,192129.0,97.92,97.83,18.796,18.813,-0.017,-0.003,3.1,Bloomberg Global Aggregate,4.7,AAA,2
P-101,CLT-1001,AZN_LN,AstraZeneca PLC,Equity,Healthcare,United Kingdom,GBP,29184.0,174.49,227.25,6.632,5.092,1.54,0.408,1.09,Bloomberg Global Aggregate,0.0,N/A,1
P-102,CLT-1001,EUR_LIQUIDITY_FUND,EUR Institutional Liquidity Master Fund,Money Market,Cash Equivalents,Europe,EUR,22902100.0,98.94,100.0,2290.21,2265.934,24.276,3.984,58.86,Bloomberg Global Aggregate,0.0,N/A,1
P-102,CLT-1001,AAPL,Apple Inc.,Equity,Technology,United States,USD,5549639.0,246.73,210.42,1167.755,1369.262,-201.507,-43.06,30.01,Bloomberg Global Aggregate,0.0,N/A,1
P-102,CLT-1001,JPM,JPMorgan Chase & Co.,Equity,Financials,United States,USD,351315.0,458.56,444.12,156.026,161.099,-5.073,-1.701,4.01,Bloomberg Global Aggregate,0.0,N/A,1
P-102,CLT-1001,AZN_LN,AstraZeneca PLC,Equity,Healthcare,United Kingdom,GBP,570875.0,219.51,232.0,132.443,125.313,7.13,2.761,3.4,Bloomberg Global Aggregate,0.0,N/A,1
P-102,CLT-1001,INFY_IN,Infosys Ltd.,Equity,Technology,India,INR,292701.0,396.18,448.17,131.18,115.962,15.218,4.802,3.37,Bloomberg Global Aggregate,0.0,N/A,1
P-102,CLT-1001,UK_10Y_GILT,UK Gilt 3.75% 2033,Government Bonds,Sovereign Debt,United Kingdom,GBP,144623.0,95.78,94.01,13.596,13.852,-0.256,-0.1,0.35,Bloomberg Global Aggregate,6.2,BBB+,1
P-103,CLT-1001,DBS_SP,DBS Group Holdings,Equity,Financials,Singapore,SGD,4580526.0,83.19,112.97,517.462,381.054,136.408,16.919,30.4,S&P 500,0.0,N/A,1
P-103,CLT-1001,GOOGL,Alphabet Inc.,Equity,Communication,United States,USD,3271688.0,107.81,124.33,406.769,352.721,54.048,16.353,23.9,S&P 500,0.0,N/A,1
P-103,CLT-1001,PLD_REIT,Prologis Global Logistics REIT,REIT,Real Estate,United States,USD,2146224.0,162.41,144.08,309.228,348.568,-39.34,-14.441,18.17,S&P 500,0.0,N/A,2
P-103,CLT-1001,CORP_IG_EUR,Euro High Grade Corporate Bond Note,Corporate Bonds,Corporate Credit,Europe,EUR,2083498.0,93.04,95.2,198.349,193.849,4.5,1.286,11.65,S&P 500,5.5,BBB+,2
P-103,CLT-1001,USD_TREAS_MMF,Institutional USD Treasury Money Market Fund,Money Market,Cash Equivalents,United States,USD,1882160.0,98.8,100.0,188.216,185.957,2.259,0.44,11.06,S&P 500,0.0,N/A,1
P-103,CLT-1001,INR_OVERNIGHT_CASH,Institutional INR Overnight Liquid Fund,Money Market,Cash Equivalents,India,INR,821460.0,99.34,100.0,82.146,81.604,0.542,0.163,4.83,S&P 500,0.0,N/A,1
P-104,CLT-1002,AZN_LN,AstraZeneca PLC,Equity,Healthcare,United Kingdom,GBP,9530058.0,46.01,53.73,512.05,438.478,73.572,19.783,24.5,MSCI World,0.0,N/A,1
P-104,CLT-1002,SHEL_LN,Shell PLC,Equity,Energy,United Kingdom,GBP,5159951.0,80.27,89.99,464.344,414.189,50.155,12.627,22.22,MSCI World,0.0,N/A,1
P-104,CLT-1002,IND_10Y_GSEC,India Sovereign G-Sec 7.18% 2033,Government Bonds,Sovereign Debt,India,INR,3013252.0,94.78,93.72,282.402,285.596,-3.194,-0.385,13.51,MSCI World,4.6,AA,1
P-104,CLT-1002,RELIANCE_IN,Reliance Industries Ltd.,Equity,Energy,India,INR,2395942.0,87.89,113.1,270.981,210.579,60.402,18.789,12.97,MSCI World,0.0,N/A,1
P-104,CLT-1002,NOVN_SW,Novartis AG,Equity,Healthcare,Switzerland,CHF,739811.0,214.64,294.67,218.0,158.793,59.207,17.537,10.43,MSCI World,0.0,N/A,1
P-104,CLT-1002,CORP_IG_USD,US Investment Grade Corporate Bond Fund,Corporate Bonds,Corporate Credit,United States,USD,730185.0,87.35,92.1,67.25,63.782,3.468,0.658,3.22,MSCI World,6.6,AA+,2
P-104,CLT-1002,DBS_SP,DBS Group Holdings,Equity,Financials,Singapore,SGD,362340.0,118.18,155.79,56.449,42.821,13.628,4.398,2.7,MSCI World,0.0,N/A,1
P-104,CLT-1002,AMZN,Amazon.com Inc.,Equity,Consumer Discretionary,United States,USD,181039.0,114.73,112.18,20.309,20.771,-0.462,-0.075,0.97,MSCI World,0.0,N/A,1
