Portfolio_ID,Client_ID,Client_Name,Portfolio_Name,Base_Currency,Total_Market_Value_USD_M,Cost_Basis_USD_M,Unrealized_PnL_USD_M,Benchmark,Number_of_Holdings,Top_Holding_Weight_Pct,Top_5_Holdings_Weight_Pct
P-101,CLT-1001,Northstar Pension Fund,Core Global Multi-Asset Account,USD,606.63,529.67,76.96,Bloomberg Global Aggregate,7,36.74,95.81
P-102,CLT-1001,Northstar Pension Fund,Sovereign Fixed Income & Liquidity Account,USD,3891.21,4051.42,-160.21,Bloomberg Global Aggregate,6,58.86,99.65
P-103,CLT-1001,Northstar Pension Fund,Active Equity Alpha Strategy Account,USD,1702.17,1543.75,158.42,S&P 500,6,30.4,95.17
P-104,CLT-1002,Meridian Asset Management,Core Global Multi-Asset Account,GBP,1906.15,1649.25,256.89,MSCI World,9,24.5,83.63
P-105,CLT-1002,Meridian Asset Management,Sovereign Fixed Income & Liquidity Account,GBP,2760.0,2494.69,265.31,Bloomberg Global Aggregate,12,24.52,84.03
P-106,CLT-1003,Apex Insurance Group,Core Global Multi-Asset Account,USD,2520.22,2385.52,134.7,Bloomberg Global Aggregate,8,25.29,91.15
P-107,CLT-1003,Apex Insurance Group,Sovereign Fixed Income & Liquidity Account,USD,866.66,804.63,62.03,Bloomberg Global Aggregate,8,38.64,84.83
P-108,CLT-1003,Apex Insurance Group,Active Equity Alpha Strategy Account,USD,1703.21,1622.87,80.34,S&P 500,11,31.9,78.0
P-109,CLT-1003,Apex Insurance Group,Strategic Collateral & Yield Account,USD,1835.71,1623.81,211.9,Bloomberg Global Aggregate,9,41.07,86.82
P-110,CLT-1003,Apex Insurance Group,Tactical Overlay & Treasury Account,USD,474.2,470.78,3.41,Crisil Liquid / MMF,9,21.29,74.58
P-111,CLT-1004,Horizon University Endowment,Core Global Multi-Asset Account,USD,1950.0,1793.38,156.62,MSCI World,8,28.35,95.18
P-112,CLT-1005,Atlas Sovereign Fund,Core Global Multi-Asset Account,USD,6463.75,6334.89,128.86,Bloomberg Global Aggregate,12,20.33,78.23
P-113,CLT-1005,Atlas Sovereign Fund,Sovereign Fixed Income & Liquidity Account,USD,778.33,780.26,-1.93,Bloomberg Global Aggregate,6,43.32,97.77
P-114,CLT-1005,Atlas Sovereign Fund,Active Equity Alpha Strategy Account,USD,1433.98,1448.45,-14.47,MSCI World,10,31.88,86.77
P-115,CLT-1005,Atlas Sovereign Fund,Strategic Collateral & Yield Account,USD,3823.94,3373.5,450.44,Bloomberg Global Aggregate,8,33.71,89.61
P-116,CLT-1006,BlueRiver Capital,Core Global Multi-Asset Account,SGD,791.33,740.04,51.29,MSCI World,13,32.12,79.35
P-117,CLT-1006,BlueRiver Capital,Sovereign Fixed Income & Liquidity Account,SGD,88.72,85.13,3.59,Bloomberg Global Aggregate,6,35.17,98.15
P-118,CLT-1006,BlueRiver Capital,Active Equity Alpha Strategy Account,SGD,2219.96,2026.69,193.27,MSCI World,11,19.4,81.83
P-119,CLT-1007,Sterling Retirement Trust,Core Global Multi-Asset Account,GBP,797.55,756.94,40.61,Bloomberg Global Aggregate,11,25.14,80.41
P-120,CLT-1007,Sterling Retirement Trust,Sovereign Fixed Income & Liquidity Account,GBP,4502.45,4169.23,333.22,Bloomberg Global Aggregate,9,18.79,84.16
P-121,CLT-1008,Nova Family Office,Core Global Multi-Asset Account,EUR,506.33,453.85,52.48,MSCI World,7,48.79,97.93
P-122,CLT-1008,Nova Family Office,Sovereign Fixed Income & Liquidity Account,EUR,343.67,316.63,27.04,Bloomberg Global Aggregate,12,19.53,69.61
P-123,CLT-1009,Summit Foundation,Core Global Multi-Asset Account,USD,639.82,551.11,88.71,Bloomberg Global Aggregate,8,36.25,89.5
P-124,CLT-1009,Summit Foundation,Sovereign Fixed Income & Liquidity Account,USD,501.47,522.16,-20.69,Bloomberg Global Aggregate,10,34.64,82.26
P-125,CLT-1009,Summit Foundation,Active Equity Alpha Strategy Account,USD,58.71,54.5,4.21,S&P 500,9,19.06,83.45
P-126,CLT-1010,Orion Investment Partners,Core Global Multi-Asset Account,USD,424.66,402.57,22.09,MSCI World,12,29.21,76.04
P-127,CLT-1010,Orion Investment Partners,Sovereign Fixed Income & Liquidity Account,USD,592.1,585.08,7.02,Bloomberg Global Aggregate,13,15.04,57.72
P-128,CLT-1010,Orion Investment Partners,Active Equity Alpha Strategy Account,USD,2319.16,2073.42,245.74,S&P 500,8,35.01,91.31
P-129,CLT-1010,Orion Investment Partners,Strategic Collateral & Yield Account,USD,464.08,455.24,8.84,Bloomberg Global Aggregate,11,25.26,82.0
P-130,CLT-1011,Bharat Infrastructure Trust,Core Global Multi-Asset Account,INR,3847.99,3895.74,-47.75,Bloomberg Global Aggregate,11,33.19,74.85
