Date,Portfolio_ID,Client_ID,Ending_NAV_USD_M,Monthly_Return,Benchmark_Monthly_Return,Net_Cash_Flow_USD_M,Benchmark
2021-01-31,P-101,CLT-1001,698.689,0.01169,0.01155,0.0,Bloomberg Global Aggregate
2021-02-28,P-101,CLT-1001,696.851,-0.00263,-0.00084,0.0,Bloomberg Global Aggregate
2021-03-31,P-101,CLT-1001,712.827,0.02293,0.02435,0.0,Bloomberg Global Aggregate
2021-04-30,P-101,CLT-1001,716.392,0.005,0.00166,0.0,Bloomberg Global Aggregate
2021-05-31,P-101,CLT-1001,702.186,-0.01983,-0.00557,0.0,Bloomberg Global Aggregate
2021-06-30,P-101,CLT-1001,723.361,0.03016,0.0198,0.0,Bloomberg Global Aggregate
2021-07-31,P-101,CLT-1001,704.796,-0.02567,-0.0232,0.0,Bloomberg Global Aggregate
2021-08-31,P-101,CLT-1001,715.717,0.0155,0.01257,0.0,Bloomberg Global Aggregate
2021-09-30,P-101,CLT-1001,707.598,-0.01134,-0.01639,0.0,Bloomberg Global Aggregate
2021-10-31,P-101,CLT-1001,724.774,0.02427,0.02715,-19.73,Bloomberg Global Aggregate
2021-11-30,P-101,CLT-1001,723.977,-0.0011,-0.00173,0.0,Bloomberg Global Aggregate
2021-12-31,P-101,CLT-1001,716.331,-0.01056,0.0057,0.0,Bloomberg Global Aggregate
2022-01-31,P-101,CLT-1001,719.337,0.0042,-0.00409,0.0,Bloomberg Global Aggregate
2022-02-28,P-101,CLT-1001,692.961,-0.03667,-0.04804,0.0,Bloomberg Global Aggregate
2022-03-31,P-101,CLT-1001,667.088,-0.03734,-0.02404,0.0,Bloomberg Global Aggregate
2022-04-30,P-101,CLT-1001,671.048,0.00594,0.00775,0.0,Bloomberg Global Aggregate
2022-05-31,P-101,CLT-1001,667.916,-0.00467,0.00445,0.0,Bloomberg Global Aggregate
2022-06-30,P-101,CLT-1001,663.704,-0.00631,-0.00652,0.0,Bloomberg Global Aggregate
2022-07-31,P-101,CLT-1001,644.054,-0.02961,-0.03715,0.0,Bloomberg Global Aggregate
2022-08-31,P-101,CLT-1001,650.305,0.00971,-0.00085,0.0,Bloomberg Global Aggregate
2022-09-30,P-101,CLT-1001,658.953,0.0133,0.00155,0.0,Bloomberg Global Aggregate
2022-10-31,P-101,CLT-1001,660.58,0.00247,-0.01095,0.0,Bloomberg Global Aggregate
2022-11-30,P-101,CLT-1001,667.806,0.01094,0.01112,0.0,Bloomberg Global Aggregate
2022-12-31,P-101,CLT-1001,645.742,-0.03304,-0.02466,0.0,Bloomberg Global Aggregate
2023-01-31,P-101,CLT-1001,642.111,-0.00562,-0.0064,0.0,Bloomberg Global Aggregate
2023-02-28,P-101,CLT-1001,618.968,-0.03604,-0.04345,33.04,Bloomberg Global Aggregate
2023-03-31,P-101,CLT-1001,625.983,0.01133,0.02043,0.0,Bloomberg Global Aggregate
2023-04-30,P-101,CLT-1001,641.993,0.02558,0.00906,0.0,Bloomberg Global Aggregate
2023-05-31,P-101,CLT-1001,630.032,-0.01863,-0.02839,0.0,Bloomberg Global Aggregate
2023-06-30,P-101,CLT-1001,611.212,-0.02987,-0.02983,0.0,Bloomberg Global Aggregate
2023-07-31,P-101,CLT-1001,600.382,-0.01772,-0.01321,16.06,Bloomberg Global Aggregate
2023-08-31,P-101,CLT-1001,608.737,0.01392,0.01806,0.0,Bloomberg Global Aggregate
2023-09-30,P-101,CLT-1001,608.727,-2e-05,-0.00247,0.0,Bloomberg Global Aggregate
2023-10-31,P-101,CLT-1001,601.315,-0.01218,-0.01193,0.0,Bloomberg Global Aggregate
2023-11-30,P-101,CLT-1001,598.016,-0.00549,-0.01571,0.0,Bloomberg Global Aggregate
2023-12-31,P-101,CLT-1001,587.371,-0.0178,-0.01655,-31.58,Bloomberg Global Aggregate
2024-01-31,P-101,CLT-1001,571.606,-0.02684,-0.03312,41.18,Bloomberg Global Aggregate
2024-02-29,P-101,CLT-1001,561.345,-0.01795,-0.01949,0.0,Bloomberg Global Aggregate
2024-03-31,P-101,CLT-1001,554.196,-0.01274,-0.01692,0.0,Bloomberg Global Aggregate
2024-04-30,P-101,CLT-1001,562.913,0.01573,0.01598,0.0,Bloomberg Global Aggregate
2024-05-31,P-101,CLT-1001,567.489,0.00813,6e-05,0.0,Bloomberg Global Aggregate
2024-06-30,P-101,CLT-1001,565.15,-0.00412,-0.01232,0.0,Bloomberg Global Aggregate
