Client_ID,Client_Name,Client_Type,Region,Country,Base_Currency,AUM_USD_M,Cash_Balance_USD_M,Cash_Ratio_Pct,Annual_Revenue_USD_M,Revenue_Bps_AUM,Transaction_Volume_USD_M,Number_of_Accounts,Relationship_Start_Date,Client_Tenure_Years,Risk_Profile,Primary_Service,Secondary_Service,Active_Services,Service_Count,Relationship_Manager,Client_Status
CLT-1001,Northstar Pension Fund,Pension Fund,North America,United States,USD,6200.0,375.58,6.06,3.407,5.5,6690.3,3,2016-03-15,10.0,Conservative,Custody,Liquidity Management,Custody;Liquidity Management;Performance Analytics,3,Sarah Jenkins,Active
CLT-1002,Meridian Asset Management,Asset Manager,Europe,United Kingdom,GBP,4850.0,313.44,6.46,4.011,8.3,4169.0,2,2018-06-20,7.7,Growth,Fund Administration,FX Services,Trade Finance;FX Services;Fund Administration,3,Alistair Crawford,Active
CLT-1003,Apex Insurance Group,Insurance Company,North America,United States,USD,7400.0,408.59,5.52,3.988,5.4,16299.6,5,2015-11-10,10.3,Conservative,Collateral Management,Custody,Collateral Management;Custody;FX Services;Trade Finance,4,Michael Chang,Active
CLT-1004,Horizon University Endowment,Endowment,North America,United States,USD,1950.0,114.21,5.86,1.789,9.2,4282.7,1,2019-01-14,7.1,Growth,Performance Analytics,Custody,Custody;Fund Administration;Trade Finance;Performance Analytics,4,Emily Watson,Active
CLT-1005,Atlas Sovereign Fund,Sovereign Fund,Middle East,UAE,USD,12500.0,1705.74,13.65,10.696,8.6,12417.9,4,2017-09-01,8.5,Moderate,Cash Management,Trade Finance,Cash Management;Trade Finance;Collateral Management;Liquidity Management,4,Tariq Al-Mansoor,Active
CLT-1006,BlueRiver Capital,Asset Manager,Asia-Pacific,Singapore,SGD,3100.0,208.58,6.73,2.936,9.5,2968.6,3,2020-04-12,5.9,Aggressive,Custody,FX Services,Custody;FX Services;Liquidity Management;Performance Analytics,4,Li Wei Tan,Active
CLT-1007,Sterling Retirement Trust,Pension Fund,Europe,United Kingdom,GBP,5300.0,373.22,7.04,3.709,7.0,4725.7,2,2016-08-25,9.5,Conservative,Custody,Fund Administration,Custody;Collateral Management;Fund Administration,3,Alistair Crawford,Active
CLT-1008,Nova Family Office,Family Office,Europe,Switzerland,EUR,850.0,101.62,11.96,1.285,15.1,1152.6,2,2021-02-18,5.0,Growth,Cash Management,Performance Analytics,Fund Administration;Cash Management;Custody;Liquidity Management;Performance Analytics,5,Elena Rossi,Active
CLT-1009,Summit Foundation,Foundation,North America,United States,USD,1200.0,59.05,4.92,1.413,11.8,2515.3,3,2018-10-05,7.4,Moderate,Custody,Cash Management,Fund Administration;Cash Management;Custody;Liquidity Management;Performance Analytics,5,Michael Chang,Active
CLT-1010,Orion Investment Partners,Asset Manager,North America,United States,USD,3800.0,157.84,4.15,3.144,8.3,8270.0,4,2019-07-22,6.6,Aggressive,Fund Administration,Collateral Management,Performance Analytics;Collateral Management;Fund Administration,3,Sarah Jenkins,Active
CLT-1011,Bharat Infrastructure Trust,Pension Fund,Asia-Pacific,India,INR,4200.0,201.48,4.8,3.68,8.8,10122.4,2,2017-12-01,8.2,Moderate,Custody,Cash Management,Cash Management;Custody;Collateral Management;Trade Finance,4,Rajesh Sharma,Active
CLT-1012,Pacific Rim Life Insurance,Insurance Company,Asia-Pacific,Japan,JPY,8900.0,386.61,4.34,8.765,9.8,10904.8,4,2015-05-30,10.8,Conservative,Collateral Management,Custody,Collateral Management;Custody;FX Services;Performance Analytics,4,Kenji Sato,Active
CLT-1013,Tokyo Global Reinsurance,Insurance Company,Asia-Pacific,Japan,JPY,6100.0,248.36,4.07,3.906,6.4,8085.4,5,2016-10-14,9.4,Conservative,Trade Finance,Collateral Management,FX Services;Trade Finance;Collateral Management;Liquidity Management;Performance Analytics,5,Kenji Sato,Active
CLT-1014,Rhine Corporate Treasury,Corporate Treasury,Europe,Germany,EUR,2800.0,282.41,10.09,2.826,10.1,2749.1,3,2020-09-15,5.5,Conservative,Cash Management,FX Services,Cash Management;Trade Finance;FX Services,3,Elena Rossi,Active
